aa: /ɑː/ aa
aaban:  /ˈɑːbɑːn/ aaban
aachen: /ˈɑːxən/ 亚琛
aages: /ˈeɪdʒɪz/ aages
aain:  /eɪɪn/ aain
aair:  /eɪər/ aair
aame: /eɪm/ aame
aan: /ɑːn/ aan
aanats: /ˈɑːnəts/ aanats
aarne: /ˈɑːrni/ 阿尔内
aaron: /ˈɛərən/ 亚伦
aatar: /ˈɑːtɑːr/ aatar
ab: /æb/ ab
abalonus:  /ˌæbəˈloʊnəs/ abalonus
abandon: /əˈbændən/ 放弃
abandoned: /əˈbændənd/ 被放弃的
abandoning: /əˈbændənɪŋ/ 放弃中
abandonment: /əˈbændənmənt/ 放弃
abbreviate: /əˈbriːvieɪt/ 缩写
abbreviations: /əˌbriːviˈeɪʃənz/ 缩写词
abdet: /ˈæbdɛt/ abdet
abdicate: /ˈæbdɪkeɪt/ 退位
abdicated: /ˈæbdɪkeɪtɪd/ 已退位的
abdomen: /ˈæbdəmən/ 腹部
abdul: /ˈæbdʊl/ 阿卜杜勒
abel: /ˈeɪbəl/ 亚伯
aberration: /ˌæbəˈreɪʃən/ 偏差
abided: /əˈbaɪdɪd/ 遵守
abiding: /əˈbaɪdɪŋ/ 持久的
abil: /ˈeɪbɪl/ abil
abilities: /əˈbɪlətiz/ 能力
ability: /əˈbɪləti/ 能力
abised: /ˈæbɪzd/ abised
abject: /ˈæbdʒɛkt/ 可怜的
ablaze: /əˈbleɪz/ 着火的
able: /ˈeɪbəl/ 能够的
abnormal: /æbˈnɔːrməl/ 异常的
aboard: /əˈbɔːrd/ 在船上
abode: /əˈboʊd/ 住处
abolished: /əˈbɑːlɪʃt/ 废除的
abolishment: /əˈbɑːlɪʃmənt/ 废除
abolition: /ˌæbəˈlɪʃən/ 废除
abolitionist: /ˌæbəˈlɪʃənɪst/ 废奴主义者
abolitionists: /ˌæbəˈlɪʃənɪsts/ 废奴主义者们
aboriginal: /ˌæbəˈrɪdʒənəl/ 原住民的
aborted: /əˈbɔːrtɪd/ 中止的
abortion: /əˈbɔːrʃən/ 流产
abortions: /əˈbɔːrʃənz/ 流产
aborts: /əˈbɔːrts/ 中止
aboss: /ˈeɪbɔːs/ aboss
abound: /əˈbaʊnd/ 富于
about: /əˈbaʊt/ 关于
abouts: /əˈbaʊts/ 关于
above: /əˈbʌv/ 在上面
abraham: /ˈeɪbrəhæm/ 亚伯拉罕
abroad: /əˈbrɔːd/ 在国外
abrupt: /əˈbrʌpt/ 突然的
abruptly: /əˈbrʌptli/ 突然地
absans: /ˈæbsæns/ absans
absence: /ˈæbsəns/ 缺席
absent: /ˈæbsənt/ 缺席的
absity: /ˈæbsɪti/ absity
absolute: /ˈæbsəluːt/ 绝对的
absolutely: /ˈæbsəluːtli/ 绝对地
absolutism: /ˈæbsəluːtɪzəm/ 专制主义
absorb: /əbˈsɔːrb/ 吸收
absorbed: /əbˈsɔːrbd/ 吸收的
abstain: /əbˈsteɪn/ 弃权
abstained: /əbˈsteɪnd/ 弃权的
abstract: /ˈæbstrækt/ 抽象的
abstraction: /æbˈstrækʃən/ 抽象
absurd: /əbˈsɜːrd/ 荒谬的
absurdism: /əbˈsɜːrdɪzəm/ 荒诞主义
absurdities: /əbˈsɜːrdətiz/ 荒谬之处
absurdity: /əbˈsɜːrdəti/ 荒谬
absurdly: /əbˈsɜːrdli/ 荒谬地
abundance: /əˈbʌndəns/ 丰富
abundant: /əˈbʌndənt/ 丰富的
abundantly: /əˈbʌndəntli/ 丰富地
abuse: /əˈbjuːz/ 滥用
abused: /əˈbjuːzd/ 虐待的
abuses: /əˈbjuːzɪz/ 滥用
abusive: /əˈbjuːsɪv/ 虐待的
abyssinia: /ˌæbɪˈsɪniə/ 阿比西尼亚
ac: /eɪˈsiː/ 交流
academic: /ˌækəˈdɛmɪk/ 学术的
academics: /ˌækəˈdɛmɪks/ 学术界人士
academy: /əˈkædəmi/ 学院
acadian: /əˈkeɪdiən/ 阿卡迪亚人
acadians: /əˈkeɪdiənz/ 阿卡迪亚人
accelerate: /əkˈsɛləreɪt/ 加速
accelerated: /əkˈsɛləreɪtɪd/ 加速的
accelerates: /əkˈsɛləreɪts/ 加速
accelerating: /əkˈsɛləreɪtɪŋ/ 加速
acceleration: /əkˌsɛləˈreɪʃən/ 加速
accelerators: /əkˈsɛləreɪtərz/ 加速器
accenture: /ˈæksɛntʃər/ 埃森哲
accept: /əkˈsɛpt/ 接受
acceptable: /əkˈsɛptəbəl/ 可接受的
acceptance: /əkˈsɛptəns/ 接受
accepted: /əkˈsɛptɪd/ 被接受的
accepting: /əkˈsɛptɪŋ/ 接受
accepts: /əkˈsɛpts/ 接受
access: /ˈæksɛs/ 访问
accessed: /ˈæksɛst/ 已访问
accessibility: /ækˌsɛsəˈbɪləti/ 可访问性
accessible: /ækˈsɛsəbəl/ 可访问的
accessing: /ˈæksɛsɪŋ/ 访问中
accessor: /ˈæksɛsər/ 附件
accessories: /ækˈsɛsəriz/ 配件
accident: /ˈæksɪdənt/ 事故
accidentally: /ˌæksɪˈdɛntəli/ 意外地
accidents: /ˈæksɪdənts/ 事故
acclaimed: /əˈkleɪmd/ 受赞扬的
acclamation: /ˌækləˈmeɪʃən/ 欢呼
accolade: /ˈækəleɪd/ 赞誉
accommodate: /əˈkɑːmədeɪt/ 容纳
accommodated: /əˈkɑːmədeɪtɪd/ 已容纳
accommodates: /əˈkɑːmədeɪts/ 容纳
